exp_name,model,model_hash,model_path,judged_file,prompt_type,n,prompts,english_fluency_mean,english_fluency_std,coherence_mean,coherence_std,task_fulfillment_mean,task_fulfillment_std,constraint_following_mean,constraint_following_std,degeneration_control_mean,degeneration_control_std,completeness_mean,completeness_std,overall_quality_mean,overall_quality_std,flag_empty_or_near_empty,flag_mostly_non_english,flag_mostly_incoherent,flag_major_prompt_mismatch,flag_explicit_constraint_violation,flag_severe_repetition_or_looping,flag_likely_truncated
E_1,base,80e603240e,/home/alaltischenko/proj/tinyllm/fine-tune-2/runs/3654739_3_ft2_F_base_2026-02-26_06-48-53/out/ckpt_best.pt,/home/user_mi/user_mi/HSE/2025_2026/search_programm/comments/experiments/fine-tune-lora-2/inference/res/E_1/base_judged.jsonl,continuation,200,40,4.415,0.493958,4.985,0.212132,4.735,0.506019,4.735,0.506019,4.405,0.521859,3.265,0.690768,4.385,0.527414,0,0,1,1,0,1,173
E_1,ftl_F_1,d52f8b4ac2,/home/alaltischenko/proj/tinyllm/fine-tune-lora-2/inference/config/E_1/../../../runs/3834480_3_ftl_F_1_2026-04-06_05-08-58/out/ckpt_best.pt,/home/user_mi/user_mi/HSE/2025_2026/search_programm/comments/experiments/fine-tune-lora-2/inference/res/E_1/ftl_F_1_judged.jsonl,continuation,200,40,3.535,0.633071,3.865,1.0059,4.555,0.6627,4.655,0.64658,3.305,0.635606,3.055,0.777817,3.735,0.726231,0,0,19,3,0,19,176
E_1,ftl_F_19,1801cb1361,/home/alaltischenko/proj/tinyllm/fine-tune-lora-2/inference/config/E_1/../../../runs/4101454_0_ftl_F_19_2026-06-16_13-01-57/out/ckpt.pt,/home/user_mi/user_mi/HSE/2025_2026/search_programm/comments/experiments/fine-tune-lora-2/inference/res/E_1/ftl_F_19_judged.jsonl,continuation,200,40,3.935,0.247144,4.22,0.777575,4.755,0.580223,4.755,0.580223,3.42,0.612762,3.22,0.658611,3.885,0.550719,0,0,13,4,0,13,176
E_1,ftl_F_7,7e53e0d044,/home/alaltischenko/proj/tinyllm/fine-tune-lora-2/inference/config/E_1/../../../runs/3958348_1_ftl_F_7_2026-05-05_07-36-36/out/ckpt.pt,/home/user_mi/user_mi/HSE/2025_2026/search_programm/comments/experiments/fine-tune-lora-2/inference/res/E_1/ftl_F_7_judged.jsonl,continuation,200,40,3.965,0.184241,4.275,0.672037,4.755,0.571496,4.755,0.571496,3.48,0.56675,3.17,0.610708,3.955,0.46265,0,0,7,4,0,7,181
E_1,ftl_F_8,6093f6f2a1,/home/alaltischenko/proj/tinyllm/fine-tune-lora-2/inference/config/E_1/../../../runs/3964836_1_ftl_F_8_2026-05-06_06-43-31/out/ckpt_best.pt,/home/user_mi/user_mi/HSE/2025_2026/search_programm/comments/experiments/fine-tune-lora-2/inference/res/E_1/ftl_F_8_judged.jsonl,continuation,200,40,3.53,0.656701,3.865,1.015842,4.425,0.798475,4.505,0.801992,3.35,0.647764,2.94,0.713404,3.65,0.707107,0,0,21,5,0,19,182
E_1,base,80e603240e,/home/alaltischenko/proj/tinyllm/fine-tune-2/runs/3654739_3_ft2_F_base_2026-02-26_06-48-53/out/ckpt_best.pt,/home/user_mi/user_mi/HSE/2025_2026/search_programm/comments/experiments/fine-tune-lora-2/inference/res/E_1/base_judged.jsonl,instruct,300,60,4.24,0.427797,4.98,0.244539,3.426667,1.105454,3.426667,1.105454,4.226667,0.464768,2.983333,0.823803,3.8,0.595412,0,0,2,83,0,2,261
E_1,ftl_F_1,d52f8b4ac2,/home/alaltischenko/proj/tinyllm/fine-tune-lora-2/inference/config/E_1/../../../runs/3834480_3_ftl_F_1_2026-04-06_05-08-58/out/ckpt_best.pt,/home/user_mi/user_mi/HSE/2025_2026/search_programm/comments/experiments/fine-tune-lora-2/inference/res/E_1/ftl_F_1_judged.jsonl,instruct,300,60,3.546667,0.623794,3.806667,1.101514,3.203333,0.94426,3.21,0.953378,3.336667,0.625534,2.863333,0.883511,3.3,0.790834,0,0,40,76,0,25,261
E_1,ftl_F_19,1801cb1361,/home/alaltischenko/proj/tinyllm/fine-tune-lora-2/inference/config/E_1/../../../runs/4101454_0_ftl_F_19_2026-06-16_13-01-57/out/ckpt.pt,/home/user_mi/user_mi/HSE/2025_2026/search_programm/comments/experiments/fine-tune-lora-2/inference/res/E_1/ftl_F_19_judged.jsonl,instruct,300,60,3.973333,0.161376,4.246667,0.70769,3.363333,1.0496,3.363333,1.0496,3.45,0.549399,2.966667,0.712212,3.533333,0.568595,0,0,8,76,0,8,267
E_1,ftl_F_7,7e53e0d044,/home/alaltischenko/proj/tinyllm/fine-tune-lora-2/inference/config/E_1/../../../runs/3958348_1_ftl_F_7_2026-05-05_07-36-36/out/ckpt.pt,/home/user_mi/user_mi/HSE/2025_2026/search_programm/comments/experiments/fine-tune-lora-2/inference/res/E_1/ftl_F_7_judged.jsonl,instruct,300,60,3.96,0.196287,4.28,0.714119,3.403333,1.041283,3.403333,1.041283,3.426667,0.564818,2.93,0.702432,3.553333,0.606946,0,0,11,69,0,11,276
E_1,ftl_F_8,6093f6f2a1,/home/alaltischenko/proj/tinyllm/fine-tune-lora-2/inference/config/E_1/../../../runs/3964836_1_ftl_F_8_2026-05-06_06-43-31/out/ckpt_best.pt,/home/user_mi/user_mi/HSE/2025_2026/search_programm/comments/experiments/fine-tune-lora-2/inference/res/E_1/ftl_F_8_judged.jsonl,instruct,300,60,3.52,0.661608,3.69,1.136459,3.063333,0.93214,3.083333,0.94128,3.286667,0.652617,2.706667,0.932839,3.206667,0.778444,0,0,49,95,0,33,267
E_1,base,80e603240e,/home/alaltischenko/proj/tinyllm/fine-tune-2/runs/3654739_3_ft2_F_base_2026-02-26_06-48-53/out/ckpt_best.pt,/home/user_mi/user_mi/HSE/2025_2026/search_programm/comments/experiments/fine-tune-lora-2/inference/res/E_1/base_judged.jsonl,constraints,100,20,4.22,0.416333,5,0,3.57,1.148165,3.28,1.015834,4.22,0.416333,3.12,0.832181,3.77,0.583528,0,0,0,26,84,0,81
E_1,ftl_F_1,d52f8b4ac2,/home/alaltischenko/proj/tinyllm/fine-tune-lora-2/inference/config/E_1/../../../runs/3834480_3_ftl_F_1_2026-04-06_05-08-58/out/ckpt_best.pt,/home/user_mi/user_mi/HSE/2025_2026/search_programm/comments/experiments/fine-tune-lora-2/inference/res/E_1/ftl_F_1_judged.jsonl,constraints,100,20,3.5,0.627646,3.69,1.152029,3.45,1.140397,3.28,0.899832,3.29,0.607944,2.6,0.80403,3.32,0.77694,0,0,15,27,87,8,96
